id,гражданство
1164216,СССР
1164220,СССР
1164248,СССР
1164266,СССР
1164314,СССР
1164480,СССР
1164491,СССР
1164493,СССР
1164688,СССР
1164808,СССР
1164910,Китай
1164974,СССР
1165615,СССР
1165620,СССР
1165665,СССР
1165727,СССР
1165878,СССР
1165967,Китай
1165978,нет данных
1165979,СССР
1166011,Без гражданства
1166046,СССР
1166124,СССР
1166136,СССР
1166140,нет данных
1166147,СССР
1166233,СССР
1166243,СССР
1166311,СССР
1166331,СССР
1166400,СССР
1166538,СССР
1166758,СССР
1166834,СССР
1166857,СССР
1166904,СССР
1166916,СССР
1167049,СССР
1167064,СССР
1167077,СССР
1167119,СССР
1167186,СССР
1167279,СССР
1167365,СССР
1167527,СССР
1167582,СССР
1167608,СССР
1167609,СССР
1167612,СССР
1167685,СССР
1167702,СССР
1167716,СССР
1167730,Без гражданства
1167841,Без гражданства
1167879,СССР
1167955,СССР
1167956,СССР
1168030,СССР
1168282,Китай
1168309,Китай
1168365,СССР
1168413,СССР
1168523,СССР
1168558,нет данных
1168569,СССР
1168577,СССР
1168580,СССР
1168649,СССР
1168678,СССР
1168696,СССР
1168709,СССР
1168807,эмигрант
1168821,СССР
1169289,Китай
1169832,СССР
1170160,СССР
